segment,type,sub_type,category,sub_category,details,transaction_description,country_used
Personal,Expenses,Direct,Groceries,,,EKO MINI MARKET ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKO MINI MARKET ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKO MINI MARKET ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKO MINI MARKET ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKO MINI MARKET ISTANBUL TU,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR MARKET GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR MARKET GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR MARKET GAZIMAGUSA TR KAZANILAN MAXIPUAN;323,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR MARKET GAZIMAGUSA TR KAZANILAN MAXIPUAN;323,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS TR,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS TR,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR SUPERMARKET KIBRIS TR ,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC TU,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC TU,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC TU,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC TU,Turkey
Personal,Expenses,Direct,Groceries,,,EKOMAR TICARET LTD. KKTC TU,Turkey
Personal,Expenses,Direct,Groceries,,,"EKOMAR TICARET LTD. KKTC TU KAZANILAN MAXIPUAN:0,02",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ASTRA KIBRIS 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR ELAGACE HOTEL KIBRIS 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI GAZÄ°MAGUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI GAZİMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI GAZİMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI KIBRIS 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI KIBRIS 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI MAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI SANAYI GAZIMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI SANAYI GAZIMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI SANAYI KIBRIS TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYI LKKTC 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI SANAYIKKCT TU KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYIKKTC TU,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYIKKTC TU,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN URUNLERI SANAYIKKTC TU,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI SANAYIKKTC TU 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR UN URUNLERI SANAYIKKTC TU 
KAZANILAN MAXIPUAN:0,02",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR UN UUNLERI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR VISTA GAZIMAGUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR VISTA GAZIMAGUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EKOR VISTA GAZIMAGUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR VISTA GAZIMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR VISTA GAZIMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,"EKOR VISTA GAZIMAGUSA TR 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ELÄ°T UNLU MAMULLERÄ° MAÄžUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT KUAFOR ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ELIT UNLU MAMULLERI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ELIT UNLU MAMULLERI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 4386,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 4386,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 4386,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU MAMULLERI MAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU SAKARYA KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,ELIT UNLU SAKARYA KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EMBIYA KARAKAS KIBRIS 4386,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EMBIYA KARAKAS KIBRIS 4386,Turkey
Personal,Expenses,Direct,Housing,Pet Stuff,,EMPATI VETERINER KLINIGI KKTC 8363,Turkey
Personal,Expenses,Direct,Housing,Pet Stuff,,EMPATI VETERINER KLINIGI KKTC 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EMPATI VETERINER KLINIGKKTC TU ,Turkey
Personal,Expenses,Direct,Housing,Pet Stuff,,"EMPATI VETERINER KLINIGKKTC TU 
KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Housing,Pet Stuff,,"EMPATI VETERINER KLINIGKKTC TU 
KAZANILAN MAXIPUAN:0,02",Turkey
Personal,Expenses,Direct,Housing,Pet Stuff,,"EMPATI VETERINER KLINIGKKTC TU 
KAZANILAN MAXIPUAN:0,03",Turkey
Personal,Expenses,Direct,Housing,Home Stuff,,EMRE CAN KORKMAZ Ankara 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ENBEY GIDA İSTANBUL TR,Turkey
Personal,Expenses,Direct,Groceries,,,ERATAS TRDING KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERCAN DUTY FREE LEFKOSA 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ERCAN DUTY FREE LEFKOSA 8363,Turkey
Personal,Expenses,Transfer,Own Accounts,,,ERCAN HAVALIMANI KKTC 8363,Turkey
Personal,Expenses,Direct,Groceries,,,EREN CALIKUSU GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERGIN KRAL GIDA TURIZM INIstanbul 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERGIN KRAL GIDA TURIZM INIstanbul 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ERGIN KRAL GIDA TURIZM INIstanbul 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAÅž MAÄžUSATR,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAS MAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAS MAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAS MAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAS MAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAS MAGUSA 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ERHAN KARATAŞ MAĞUSA TR,Turkey
Personal,Expenses,Direct,Groceries,,,ERSOY PETROL KKTC 8363,Turkey
Personal,Expenses,Direct,Groceries,,,ERTUG EMIN ECZANESI GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Groceries,,,"ERULKU SUPERMARKET KIBRIS TR  KAZANILAN MAXIPUAN:0,13",Turkey
Personal,Expenses,Direct,Government,Tax,,ESENYURT BELEDİYESİ İSTANBUL TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ESPRESSO LAB CITY MALL GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ESPRESSO LAB CITY MALL GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ESPRESSO LAB CITY MALL GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ESPRESSOLAB Istanbul 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ESPRESSOLAB ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,ESPRESSOLAB İSTANBUL TR,Turkey
Personal,Expenses,Direct,Government,Tax,,EST Tallinn BOLT EU R 2407071300,Bulgaria
Personal,Expenses,Direct,Government,Tax,,EST Tallinn BOLT EU R 2407071732,Bulgaria
Personal,Expenses,Direct,Government,Tax,,EST Tallinn BOLT EU R 2407072012,Bulgaria
Personal,Expenses,Direct,Government,Tax,,EST Tallinn BOLT EU R 2407081616,Bulgaria
Personal,Expenses,Direct,Government,Tax,,EST Tallinn BOLT EU R 2407081834,Bulgaria
Personal,Expenses,Direct,Government,Tax,,EST Tallinn BOLT EU R 2407101211,Bulgaria
Personal,Expenses,Direct,Fun & Vacation,Vacation,,EXOTIC TURIZM ISLETMELE KIBRIS 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,EZIC MAGUSA POINT GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EZIC MAGUSA POINT GAZIMAGUSA 4386,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,EZIC MAGUSA POINT GAZIMAGUSA 4386,Turkey
Personal,Expenses,Direct,Government,Tax,,FAİZ TUTARI,Turkey
Personal,Expenses,Direct,Government,Tax,,FAİZ TUTARI FZ:0.55 VR/FN:0.02,Turkey
Personal,Expenses,Direct,Government,Tax,,FAIZ TUTARI FZ:0.90 VR/FN:0.03,Turkey
Personal,Expenses,Direct,Groceries,,,FAIZ TUTARI FZ:1.37 VR/FN:0.42,Turkey
Personal,Expenses,Direct,Government,Tax,,FAİZ TUTARI FZ:2.15 VR/FN:0.06,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,FAMOUS PIZZA RESTURANT~~KHOBAR~ SAU682,Saudi Arabia
Personal,Expenses,Direct,Groceries,,,FATIH YILMAZ ISTANBUL 8363,Turkey
Personal,Expenses,Direct,Body Care & Medicine,Medicine,Pharmacy,FAYDALI ECZANESI KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,FEN EDEBIYAT CAY OCAGI KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,FEN EDEBIYAT CAY OCAGI KKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,FEN EDEBIYAT CAY OCAGI KKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,FEN EDEBIYAT CAY OCAGI KKTC 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,FEN EDEBIYAT CAY OCAGI KKTC 1824,Turkey
Personal,Expenses,Direct,Groceries,,,FIKRI KAYNAK GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Groceries,,,FIKRI KAYNAK GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,FIKRI KAYNAK GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Clothing,,,FİM ORGANİZASYON İSTANBUL TR,Turkey
Personal,Expenses,Direct,Transportation,Bus Ticket,,FLEXI TRADING KIBRIS 1824,Turkey
Personal,Expenses,Direct,Groceries,,,FLEXI TRADING KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,FLEXI TRADING KIBRIS 8363,Turkey
Personal,Expenses,Direct,Groceries,,,FLEXI TRADING LTD GAZÄ°MAGUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Fun,,FLEXI TRADING LTD GAZIMAGUSA 1824,Turkey
Personal,Expenses,Direct,Clothing,,,FLO PERLAVISTA ISTANBUL TR ,Turkey
Personal,Expenses,Direct,Transportation,Plane Ticket,Tax,Flyadeal CITY:0000682016SAM Jeddah MADA ***9149 VAT CHRG:     0.00 Charges:              0.00,General
Personal,Expenses,Direct,Transportation,Plane Ticket,,Flyadeal CITY:0000682016SAM Jeddah MADA ***9149 VAT CHRG:     0.00 Charges:              0.00,General
Personal,Expenses,Direct,Fun & Vacation,Food,,FOOD BASKET ELEKTRONIK ILLEFKOSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,FOOD BASKET ELEKTRONİK LEFKOŞA TR ,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,FORMEN GIDA KAHVE IC VE DISTANBUL 1824,Turkey
Personal,Income,Direct,Invoice Return,,,FT.Ã–D.Ä°PTKKTURKCELL/5338702056 FT:35798271 K:00500,Turkey
Personal,Income,Transfer,Own Accounts,,,"FURKAN OZDEN TICARET LTKKTC TU KAZANILAN MAXIPUAN:0,01",Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GAMZE ÖZER*TR040006200163800006682549*TRANSFERED BY MUSTAFA NASAB*0159575,Turkey
Personal,Expenses,Transfer,Own Accounts,,,GAZIMAGUSA ISMET INO KKTC 8363,Turkey
Personal,Expenses,Transfer,Own Accounts,,,GAZIMAGUSA/UNI KIBRIS 8363,Turkey
Personal,Expenses,Direct,Government,Tax,,GECİKME FAİZİ TUTARI,Turkey
Personal,Expenses,Direct,Groceries,,,GIRISIM GIDA ANKARA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Food,,GJC LEFKOŞA KBH LEFKOŞA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GLORIA JEANS COFFEE GAZIMAGUSA 8363,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GLORIA JEANS COFFEE GAZİMAĞUSA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GLORİA JEANS ERCAN LEFKOŞA TR,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GLORIA JEANS MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GLORIA JEANS MAGUSA 1824,Turkey
Personal,Expenses,Direct,Fun & Vacation,Coffee Shop,,GLORIA JEANS MAGUSA 1824,Turkey
